"ID","Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","Tags"
"","Epic","E1 · Modelo de datos relacional, identificadores e interoperabilidad","","","","PNMC; E1"
"","Product Backlog Item","","HU-DAT-01 · Identificadores únicos por registro","<p>Como sistema quiero que cada registro y entidad tenga un identificador único interno para relacionar información sin duplicarla.</p>","<p>Dado cualquier registro (módulo del ecosistema, noticia, evento, recurso, álbum, entidad), cuando se crea, entonces recibe un Id único y las relaciones se construyen por Id (claves foráneas), no por texto.</p>","PNMC; E1; HU-DAT-01; capa: interno; estado: Implementado; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-DAT-02 · Entidad transversal y relaciones entre procesos","<p>Como Gestor interno quiero vincular una organización/entidad con varios procesos (festivales, mercados, escuelas, espacios, redes) para representar cómo actúan los actores en el ecosistema.</p>","<p>Dado una entidad, cuando la relaciono con uno o más registros, entonces la relación queda persistida (tabla EntidadesRelaciones y endpoint /process-relations).</p><p>Dado una entidad, cuando consulto su ficha interna, entonces veo sus relaciones activas sin duplicar los procesos.</p>","PNMC; E1; HU-DAT-02; capa: interno; estado: Implementado; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-DAT-03 · Vinculación a registros fuente / históricos","<p>Como Gestor interno quiero vincular una entidad a sus registros fuente del ecosistema para consolidar información histórica sin perder trazabilidad.</p>","<p>Dado una entidad, cuando la asocio a un registro fuente, entonces el vínculo se guarda (EntidadesRegistrosFuente).</p>","PNMC; E1; HU-DAT-03; capa: interno; estado: Parcial; prioridad: Should; entrega: MVP"
"","Product Backlog Item","","HU-DAT-04 · Catálogos transversales y DIVIPOLA","<p>Como Webmaster quiero catálogos controlados (DIVIPOLA, etiquetas, prácticas musicales, territorios sonoros, estados) para mantener consistencia.</p>","<p>Dado un registro, cuando asigno departamento/municipio, entonces se validan contra DIVIPOLA (1.122 municipios).</p><p>Dado prácticas musicales / territorios sonoros / etiquetas, cuando se usan, entonces existen como catálogos (PracticasMusicales, Etiquetas, RegistrosEcosistemaTerritoriosSonoros).</p>","PNMC; E1; HU-DAT-04; capa: interno; estado: Parcial; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-DAT-05 · Etiquetado transversal de contenidos","<p>Como Gestor interno quiero etiquetar noticias, eventos y álbumes para construir filtros y relaciones.</p>","<p>Dado un contenido, cuando le asigno etiquetas, entonces se persisten (NoticiasEtiquetas, AgendaEtiquetas, AlbumesGaleriaEtiquetas).</p>","PNMC; E1; HU-DAT-05; capa: interno; estado: Parcial; prioridad: Should; entrega: MVP"
"","Epic","E2 · Identidad, autenticación y roles","","","","PNMC; E2"
"","Product Backlog Item","","HU-AUT-01 · Inicio de sesión interno","<p>Como Webmaster / Gestor interno quiero iniciar sesión para entrar a la consola administrativa.</p>","<p>Dado credenciales válidas, cuando inicio sesión, entonces recibo una sesión por cookie (pnmc.admin, 8 h sliding) y acceso según mi rol.</p><p>Dado credenciales inválidas, cuando intento entrar, entonces recibo 401 sin revelar si el usuario existe.</p>","PNMC; E2; HU-AUT-01; capa: interno; estado: Implementado; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-AUT-02 · Inicio de sesión de aliados y sector","<p>Como Aliado / Actor del sector quiero iniciar sesión para acceder a mi portal y mis registros.</p>","<p>Dado credenciales válidas, cuando inicio sesión, entonces accedo con las opciones de mi rol.</p>","PNMC; E2; HU-AUT-02; capa: registrado; estado: Implementado; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-AUT-03 · Autorización por rol en backend","<p>Como Ministerio quiero que cada acción valide el rol en el backend para que la seguridad no dependa del frontend.</p>","<p>Dado una acción protegida, cuando la solicita un rol sin permiso, entonces el backend responde 403.</p>","PNMC; E2; HU-AUT-03; capa: transversal; estado: Implementado; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-AUT-04 · Confinamiento de aliados a su entidad","<p>Como Ministerio quiero que los aliados queden limitados a su entidad para aislar la información.</p>","<p>Dado un aliado, cuando opera, entonces sus consultas se filtran por su EntidadAliadaId.</p>","PNMC; E2; HU-AUT-04; capa: registrado; estado: Implementado; prioridad: Must; entrega: MVP"
"","Product Backlog Item","","HU-AUT-05 · Diferenciar actor del sector vs aliado institucional","<p>Como Ministerio quiero distinguir entidades aliadas (con convenio) de actores del sector que registran de forma independiente para asignar permisos y alcances distintos.</p>","<p>Dado un usuario, cuando se crea, entonces queda en un canal (interno/aliado/externo).</p>","PNMC; E2; HU-AUT-05; capa: transversal; estado: Parcial; prioridad: Should; entrega: MVP"
"","Epic","E3 · Estructura institucional del PNMC: ejes y componentes","","","","PNMC; E3"
"","Product Backlog Item","","HU-EST-01 · Administrar ejes y componentes como entidades","<p>Como Webmaster / Gestor interno quiero crear, editar, ordenar y desactivar ejes y componentes para que el portal refleje la estructura del plan.</p>","<p>Dado un eje/componente, cuando lo creo, entonces tiene URL propia, metadatos, texto, imagen y documentos, y puede guardarse como borrador antes de publicar.</p>","PNMC; E3; HU-EST-01; capa: interno; estado: Propuesto; prioridad: Must; entrega: MVP"
