"ID","Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","Tags"
"","Epic","E1 · Portal público y CMS de contenidos","","<p>El sitio público orientado a la ciudadanía y el motor que permite editar sus textos sin tocar código. El CMS (WebTexts) mapea llaves únicas → valores textuales que se inyectan en la interfaz; incluye una previsualización de alta fidelidad (HiFi) que simula el resultado antes de guardar.</p>","","PNMC; E1"
"","Product Backlog Item","","HU-CMS-01 · Edición de textos del portal sin código","<p>Como Webmaster quiero editar los textos del portal desde un panel para actualizar los mensajes públicos sin depender de un desarrollador.</p>","<p>Dado que estoy autenticado como Webmaster en /admin, cuando edito el valor de una llave de texto (p. ej. home.hero.title) y guardo, entonces el nuevo valor se persiste en WebTexts y se refleja en el portal público.</p><p>Dado un texto enriquecido, cuando lo guardo, entonces el sistema conserva el formato permitido y descarta marcado inseguro.</p>","PNMC; E1; HU-CMS-01; capa: interno; diferenciador"
"","Product Backlog Item","","HU-CMS-02 · Previsualización HiFi antes de publicar","<p>Como Webmaster quiero previsualizar en tiempo real cómo se verá el cambio para evitar errores en el sitio público.</p>","<p>Dado que edito un texto, cuando escribo en el campo, entonces una maqueta a escala muestra el resultado (banner/tarjeta) tal como se verá tras guardar.</p>","PNMC; E1; HU-CMS-02; capa: interno; diferenciador"
"","Product Backlog Item","","HU-CMS-03 · Organización de textos por secciones","<p>Como Webmaster quiero que los textos estén organizados por secciones (Home, Navegación, Ejes, Agenda/Galería) para encontrarlos y mantenerlos con orden.</p>","<p>Dado el panel de Administración de Textos, cuando filtro por una sección, entonces solo veo las llaves de esa sección.</p>","PNMC; E1; HU-CMS-03; capa: interno"
"","Product Backlog Item","","HU-POR-01 · Home con mensaje estratégico configurable","<p>Como Visitante quiero ver una página de inicio con el mensaje del Plan y un acceso a participar para entender de qué trata el PNMC y vincularme.</p>","<p>Dado que entro al portal, cuando carga el Home, entonces veo el hero banner (texto desde el CMS) con un enlace directo a la sección de Participación.</p>","PNMC; E1; HU-POR-01; capa: público"
"","Product Backlog Item","","HU-POR-02 · Exploración de las 8 Rutas de Acción Territorial","<p>Como Visitante quiero explorar las estrategias del Plan para conocer sus líneas de acción.</p>","<p>Dado el Home, cuando navego el carrusel de estrategias, entonces veo las 8 Rutas de Acción Territorial del PNMC (ejes estratégicos del Plan; título y descripción cargados desde la base de datos).</p>","PNMC; E1; HU-POR-02; capa: público"
"","Epic","E2 · Mapa Ecosistémico territorial","","<p>El geovisor central (Leaflet/React-Leaflet) que consolida cartográficamente la actividad musical del país. Permite tres modos de visualización y filtros sincronizados con DIVIPOLA. Coordenadas en EPSG:4326 (WGS84).</p>","","PNMC; E2"
"","Product Backlog Item","","HU-MAP-01 · Marcadores por tipo con agrupación","<p>Como Visitante quiero ver en el mapa los procesos culturales como pines diferenciados por color para ubicar festivales, escuelas, lutieres y redes.</p>","<p>Dado el mapa en modo marcadores, cuando carga, entonces veo pines por tipo (Festivales púrpura, Escuelas turquesa, Lutieres esmeralda, Redes oro).</p><p>Dado alta densidad en una zona, cuando se renderiza, entonces los pines se agrupan en clusters con el conteo, y al hacer clic se hace zoom/spiderfy.</p>","PNMC; E2; HU-MAP-01; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-MAP-02 · Capa de calor por densidad","<p>Como Visitante (tomador de decisiones) quiero una capa de calor para evaluar qué regiones concentran masa crítica musical y cuáles requieren fomento.</p>","<p>Dado el mapa, cuando activo la capa de densidad, entonces se muestran halos de calor (de baja a alta densidad) sin exponer pines individuales.</p>","PNMC; E2; HU-MAP-02; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-MAP-03 · Coropletas departamentales","<p>Como Visitante (tomador de decisiones) quiero ver los departamentos coloreados según su densidad de registros para comparar territorios de un vistazo.</p>","<p>Dado el modo coropletas, cuando carga, entonces cada departamento se colorea proporcionalmente a su número de registros aprobados.</p>","PNMC; E2; HU-MAP-03; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-MAP-04 · Filtros DIVIPOLA con transición","<p>Como Visitante quiero filtrar por Departamento y Municipio para enfocar el mapa en un territorio.</p>","<p>Dado los desplegables DIVIPOLA, cuando elijo un departamento, entonces el mapa hace flyTo a su centroide y carga sus municipios.</p><p>Dado un municipio seleccionado, cuando aplico el filtro, entonces solo se muestran los registros de ese código DIVIPOLA (5 dígitos).</p>","PNMC; E2; HU-MAP-04; capa: público; posible solapamiento"
"","Product Backlog Item","","HU-MAP-05 · Enmascaramiento de datos personales en capa pública","<p>Como Ministerio quiero que los datos de contacto personales se enmascaren en la vista pública para cumplir Habeas Data (Ley 1581 de 2012).</p>","<p>Dado un registro con datos de contacto, cuando lo consulta un visitante público, entonces los datos personales aparecen enmascarados; solo roles con privilegio dentro de su red ven el dato crudo.</p>","PNMC; E2; HU-MAP-05; capa: público; diferenciador"
"","Product Backlog Item","","HU-MAP-06 · Geolocalización cruzada","<p>Como Visitante quiero abrir en el mapa la ubicación de un evento o registro desde otra sección para ubicarlo geográficamente.</p>","<p>Dado un evento en la Agenda, cuando pulso ""ver en el mapa"", entonces el geovisor centra y resalta su ubicación.</p>","PNMC; E2; HU-MAP-06; capa: público; posible solapamiento"
"","Epic","E3 · Catálogo editorial / Biblioteca digital","","<p>Biblioteca pública de libros, metodologías formativas y cartillas de partituras publicadas por el Ministerio, con filtros y descarga de PDF.</p>","","PNMC; E3"
"","Product Backlog Item","","HU-EDI-01 · Búsqueda de recursos editoriales","<p>Como Visitante quiero buscar libros, metodologías y cartillas para encontrar material formativo.</p>","<p>Dado el catálogo, cuando escribo un término, entonces veo los recursos publicados que coinciden.</p>","PNMC; E3; HU-EDI-01; capa: público"
"","Product Backlog Item","","HU-EDI-02 · Filtros avanzados","<p>Como Visitante quiero filtrar por eje estratégico, año y sección para acotar la búsqueda.</p>","<p>Dado resultados del catálogo, cuando aplico filtros, entonces la lista se reduce a los que cumplen los criterios.</p><p>Dado que ningún recurso cumple los filtros, cuando los aplico, entonces se muestra un estado vacío informativo.</p>","PNMC; E3; HU-EDI-02; capa: público"
"","Product Backlog Item","","HU-EDI-03 · Descarga de PDF","<p>Como Visitante quiero abrir o descargar el recurso en PDF para consultarlo.</p>","<p>Dado un recurso publicado, cuando pulso descargar, entonces se abre/descarga el archivo asociado.</p>","PNMC; E3; HU-EDI-03; capa: público"
"","Product Backlog Item","","HU-EDI-04 · Publicación de recurso editorial","<p>Como Gestor interno / Webmaster quiero publicar un recurso editorial para ponerlo a disposición de la ciudadanía.</p>","<p>Dado un recurso aprobado, cuando lo publico, entonces queda visible y descargable en el catálogo público.</p>","PNMC; E3; HU-EDI-04; capa: interno"
